City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,bredasdorp,-34.5322,20.0403,13.939999999999998,88,96,10.24,ZA,1717281664
74,crane,31.3974,-102.3501,33.420000000000016,35,17,7.35,US,1717281665
75,isla vista,34.4133,-119.861,28.02000000000004,70,100,4.12,US,1717281665
76,dudinka,69.4058,86.1778,-1.849999999999966,94,100,10.73,RU,1717281665
77,la passe,45.5549,-0.8967,14.450000000000045,93,16,4.54,FR,1717281665
78,kingston,17.997,-76.7936,26.53000000000003,89,75,4.12,JM,1717281666
79,nantucket,41.2835,-70.0995,22.060000000000002,47,0,6.69,US,1717281666
80,port alfred,-33.5906,26.891,16.210000000000036,100,100,5.36,ZA,1717281666
81,whitehorse,60.7161,-135.0538,16.560000000000002,33,75,8.23,CA,1717281666
82,buulobarde,3.8538,45.5674,25.150000000000034,83,86,8.9,SO,1717281666
83,ust-nera,64.5667,143.2,10.720000000000027,35,41,0.74,RU,1717281667
84,st. john's,47.5649,-52.7093,7.53000000000003,97,100,3.6,CA,1717281667
85,mount pearl,47.5166,-52.7813,7.07000000000005,97,100,3.6,CA,1717281667
86,el nido,11.1858,119.3956,29.32000000000005,78,47,1.99,PH,1717281667
87,pryor,36.3084,-95.3169,29.54000000000002,71,75,3.6,US,1717281667
88,wailua homesteads,22.0669,-159.378,28.24000000000001,73,20,8.75,US,1717281668
89,olonkinbyen,70.9221,-8.7187,1.240000000000009,96,100,4.4,SJ,1717281668
90,alofi,-19.0595,-169.9187,24.939999999999998,69,40,8.75,NU,1717281668
91,tazovsky,67.4667,78.7,-2.2399999999999523,98,100,2.31,RU,1717281668
92,ola,59.5833,151.2833,12.860000000000014,52,100,4.15,RU,1717281669
93,miri,4.4148,114.0089,25.08000000000004,100,40,0.0,MY,1717281669
94,guatire,10.4762,-66.5427,25.02000000000004,89,76,1.43,VE,1717281669
95,hirara,24.8,125.2833,26.150000000000034,100,75,4.12,JP,1717281669
96,salahonda,2.1019,-78.7217,27.610000000000014,84,87,5.67,CO,1717281669
97,puerto quijarro,-17.7833,-57.7667,24.52000000000004,36,0,1.08,BO,1717281670
98,roma,43.2128,-75.4557,24.08000000000004,39,0,3.6,US,1717281670
99,mountain home,43.133,-115.6912,27.710000000000036,18,75,5.14,US,1717281670
100,kandyagash,49.4744,57.4233,18.350000000000023,63,95,4.13,KZ,1717281670
101,serdar,38.9764,56.2757,28.170000000000016,13,6,3.65,TM,1717281671
102,aberdeen,57.1437,-2.0981,10.670000000000016,87,100,1.54,GB,1717281671
103,pavlogradka,54.2024,73.5592,8.970000000000027,65,97,2.95,RU,1717281671
104,namtsy,62.7161,129.6658,16.390000000000043,30,16,4.01,RU,1717281671
105,faya-largeau,17.9257,19.1043,35.93000000000001,13,1,5.52,TD,1717281672
106,tamandare,-8.7597,-35.1047,25.260000000000048,86,10,3.55,BR,1717281672
107,mata-utu,-13.2816,-176.1745,28.150000000000034,76,99,7.23,WF,1717281672
108,dar kulayb,26.0686,50.5039,36.09000000000003,59,3,3.78,BH,1717281672
109,goundam,16.4145,-3.6708,35.32000000000005,18,8,0.93,ML,1717281672
110,mujiayingzi,42.1167,118.7833,17.129999999999995,30,1,2.39,CN,1717281673
111,hilo,19.7297,-155.09,26.850000000000023,83,100,5.14,US,1717281673
112,gisborne,-38.6533,178.0042,15.850000000000023,71,100,6.19,NZ,1717281673
113,bandon,51.7469,-8.7425,14.770000000000039,92,6,3.27,IE,1717281673
114,buala,-8.145,159.5921,26.610000000000014,85,100,2.46,SB,1717281673
115,kaedi,16.1465,-13.5047,32.78000000000003,16,4,4.92,MR,1717281674
116,tejen,37.3834,60.5054,25.400000000000034,14,0,2.35,TM,1717281674
117,callao,-12.0667,-77.15,19.29000000000002,82,100,2.06,PE,1717281674
118,tofol,5.3248,163.0078,28.78000000000003,77,40,5.42,FM,1717281674
119,fortuna,40.5982,-124.1573,20.52000000000004,65,0,4.63,US,1717281631
120,noumea,-22.2763,166.4572,24.99000000000001,99,96,5.64,NC,1717281609
121,arraial do cabo,-22.9661,-42.0278,22.58000000000004,71,0,8.21,BR,1717281675
122,touros,-5.1989,-35.4608,25.52000000000004,88,30,4.78,BR,1717281696
123,maumere,-8.6199,122.2111,26.930000000000007,84,27,2.25,ID,1717281696
124,newman,37.3138,-121.0208,32.35000000000002,36,8,1.79,US,1717281696
125,bethel,41.3712,-73.414,27.470000000000027,36,9,0.89,US,1717281697
126,nemuro,43.3236,145.575,8.300000000000011,67,37,3.72,JP,1717281697
127,luanda,-8.8368,13.2343,24.0,83,75,2.57,AO,1717281347
128,anadyr,64.75,177.4833,6.28000000000003,65,20,4.0,RU,1717281697
129,tubmanburg,6.8708,-10.8172,24.07000000000005,97,100,0.75,LR,1717281698
130,yung shue wan,22.2333,114.1167,26.680000000000007,93,100,6.8,HK,1717281698
131,khorixas,-20.3667,14.9667,7.160000000000025,46,0,1.48,NA,1717281608
132,lazarevskoye,43.9061,39.3331,17.100000000000023,87,0,2.08,RU,1717281698
133,guarda,40.5373,-7.2658,12.350000000000023,55,0,5.58,PT,1717281698
134,hamilton,39.1834,-84.5333,21.470000000000027,77,100,3.6,US,1717281699
135,utrik,11.2278,169.8474,28.220000000000027,82,18,7.46,MH,1717281699
136,loreto,22.2667,-101.9667,33.56,11,75,1.38,MX,1717281699
137,alice springs,-23.7,133.8833,3.75,100,0,2.06,AU,1717281699
138,fisterra,42.9049,-9.2629,14.860000000000014,71,6,10.8,ES,1717281699
139,vorgashor,67.5833,63.95,-5.109999999999957,95,99,4.32,RU,1717281700
140,qaqortoq,60.7167,-46.0333,1.3799999999999955,99,100,3.12,GL,1717281700
141,holualoa,19.6228,-155.9522,26.910000000000025,75,0,4.63,US,1717281700
142,zuni pueblo,35.0725,-108.8506,29.350000000000023,7,0,6.94,US,1717281700
143,gmund am tegernsee,47.75,11.7333,9.910000000000025,97,100,1.82,DE,1717281700
144,lihue,21.9789,-159.3672,28.58000000000004,65,20,8.75,US,1717281701
145,isafjordur,66.0755,-23.124,6.1299999999999955,70,92,3.77,IS,1717281701
146,maceio,-9.6658,-35.7353,25.689999999999998,83,75,1.03,BR,1717281701
147,saldanha,-33.0117,17.9442,7.03000000000003,81,4,2.44,ZA,1717281701
148,penzance,50.1186,-5.5371,12.379999999999995,90,50,4.91,GB,1717281701
